"v^n-2_i,j","v^n-2_i-1,j","v^n-2_i+1,j","v^n-2_i,j-1","v^n-2_i,j+1","v^n-1_i,j","v^n-1_i-1,j","v^n-1_i+1,j","v^n-1_i,j-1","v^n-1_i,j+1","v^n_i,j","v^n_i-1,j","v^n_i+1,j","v^n_i,j-1","v^n_i,j+1","v^n+1_i,j","v^n+1_i-1,j","v^n+1_i+1,j","v^n+1_i,j-1","v^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.76618e-03,8.97228e-03,2.92408e-04,1.67071e-03,7.05754e-03,-2.05224e-02,-1.00765e-01,1.47702e-03,1.65847e-02,-6.17898e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.92408e-04,-4.76618e-03,-1.28728e-05,-3.99604e-04,-1.32476e-04,-1.47702e-03,2.05224e-02,-9.01284e-04,-4.36012e-04,-1.98697e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.32476e-04,-1.67071e-03,-7.09251e-06,-2.92408e-04,-5.62721e-05,-1.98697e-03,-1.65847e-02,-4.65349e-04,-1.47702e-03,-1.22097e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.62721e-05,-5.84953e-04,-3.54525e-06,-1.32476e-04,-2.29473e-05,-1.22097e-03,-1.03156e-02,-2.25615e-04,-1.98697e-03,-6.61228e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.29473e-05,-2.04733e-04,-1.65614e-06,-5.62721e-05,-9.09858e-06,-6.61228e-04,-5.13536e-03,-1.06853e-04,-1.22097e-03,-3.28471e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-9.09858e-06,-7.16492e-05,-7.37559e-07,-2.29473e-05,-3.53381e-06,-3.28471e-04,-2.31215e-03,-4.95578e-05,-6.61228e-04,-1.53449e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.53381e-06,-2.50702e-05,-3.16889e-07,-9.09858e-06,-1.34884e-06,-1.53449e-04,-9.82360e-04,-2.25085e-05,-3.28471e-04,-6.83220e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.34884e-06,-8.75968e-06,-1.32113e-07,-3.53381e-06,-5.01510e-07,-6.83220e-05,-4.01059e-04,-9.98699e-06,-1.53449e-04,-2.88273e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.01510e-07,-3.02516e-06,-5.29596e-08,-1.34884e-06,-1.65107e-07,-2.88273e-05,-1.56954e-04,-4.25678e-06,-6.83220e-05,-1.03955e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.65107e-07,-9.43167e-07,-1.84355e-08,-5.01510e-07,4.48079e-16,-1.03955e-05,-5.35256e-05,-1.55603e-06,-2.88273e-05,8.72571e-15
