"u^n-2_i,j","u^n-2_i-1,j","u^n-2_i+1,j","u^n-2_i,j-1","u^n-2_i,j+1","u^n-1_i,j","u^n-1_i-1,j","u^n-1_i+1,j","u^n-1_i,j-1","u^n-1_i,j+1","u^n_i,j","u^n_i-1,j","u^n_i+1,j","u^n_i,j-1","u^n_i,j+1","u^n+1_i,j","u^n+1_i-1,j","u^n+1_i+1,j","u^n+1_i,j-1","u^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.74435e-03,2.53204e-02,2.67055e-03,6.45342e-03,3.79842e-03,1.27924e-02,4.83574e-02,6.75679e-03,1.75332e-02,3.87285e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.67055e-03,5.74435e-03,9.48423e-05,1.80025e-03,2.97870e-03,6.75679e-03,1.27924e-02,1.51232e-03,1.35626e-02,9.30474e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.97870e-03,6.45342e-03,1.17676e-04,2.67055e-03,3.08785e-03,9.30474e-03,1.75332e-02,1.82007e-03,6.75679e-03,1.10109e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.08785e-03,6.71062e-03,1.27559e-04,2.97870e-03,3.12654e-03,1.10109e-02,2.06529e-02,2.01560e-03,9.30474e-03,1.18833e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.12654e-03,6.80361e-03,1.31650e-04,3.08785e-03,3.14027e-03,1.18833e-02,2.21908e-02,2.12398e-03,1.10109e-02,1.22816e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14027e-03,6.83714e-03,1.33293e-04,3.12654e-03,3.14514e-03,1.22816e-02,2.28654e-02,2.17870e-03,1.18833e-02,1.24523e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14514e-03,6.84920e-03,1.33939e-04,3.14027e-03,3.14687e-03,1.24523e-02,2.31432e-02,2.20457e-03,1.22816e-02,1.25224e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14687e-03,6.85353e-03,1.34188e-04,3.14514e-03,3.14748e-03,1.25224e-02,2.32532e-02,2.21621e-03,1.24523e-02,1.25503e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14748e-03,6.85507e-03,1.34283e-04,3.14687e-03,3.14769e-03,1.25503e-02,2.32953e-02,2.22123e-03,1.25224e-02,1.25607e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14769e-03,6.85560e-03,1.34317e-04,3.14748e-03,3.14774e-03,1.25607e-02,2.33105e-02,2.22323e-03,1.25503e-02,1.25633e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14774e-03,6.85573e-03,1.34326e-04,3.14769e-03,3.14769e-03,1.25633e-02,2.33143e-02,2.22376e-03,1.25607e-02,1.25607e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14769e-03,6.85560e-03,1.34317e-04,3.14774e-03,3.14748e-03,1.25607e-02,2.33105e-02,2.22323e-03,1.25633e-02,1.25503e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14748e-03,6.85507e-03,1.34283e-04,3.14769e-03,3.14687e-03,1.25503e-02,2.32953e-02,2.22123e-03,1.25607e-02,1.25224e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14687e-03,6.85353e-03,1.34188e-04,3.14748e-03,3.14514e-03,1.25224e-02,2.32532e-02,2.21621e-03,1.25503e-02,1.24523e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14514e-03,6.84920e-03,1.33939e-04,3.14687e-03,3.14027e-03,1.24523e-02,2.31432e-02,2.20457e-03,1.25224e-02,1.22816e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14027e-03,6.83714e-03,1.33293e-04,3.14514e-03,3.12654e-03,1.22816e-02,2.28654e-02,2.17870e-03,1.24523e-02,1.18833e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.12654e-03,6.80361e-03,1.31650e-04,3.14027e-03,3.08785e-03,1.18833e-02,2.21908e-02,2.12398e-03,1.22816e-02,1.10109e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.08785e-03,6.71062e-03,1.27559e-04,3.12654e-03,2.97870e-03,1.10109e-02,2.06529e-02,2.01560e-03,1.18833e-02,9.30474e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.97870e-03,6.45342e-03,1.17676e-04,3.08785e-03,2.67055e-03,9.30474e-03,1.75332e-02,1.82007e-03,1.10109e-02,6.75679e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.67055e-03,5.74435e-03,9.48423e-05,2.97870e-03,1.80025e-03,6.75679e-03,1.27924e-02,1.51232e-03,9.30474e-03,1.35626e-02
