"p^n-2_i,j","p^n-2_i-1,j","p^n-2_i+1,j","p^n-2_i,j-1","p^n-2_i,j+1","p^n-1_i,j","p^n-1_i-1,j","p^n-1_i+1,j","p^n-1_i,j-1","p^n-1_i,j+1","p^n_i,j","p^n_i-1,j","p^n_i+1,j","p^n_i,j-1","p^n_i,j+1","p^n+1_i,j","p^n+1_i-1,j","p^n+1_i+1,j","p^n+1_i,j-1","p^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.20581e-04,1.21975e-02,2.18738e-05,5.20550e-04,5.20550e-04,7.83698e-03,3.83288e-02,1.79331e-03,7.83506e-03,7.83506e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.20550e-04,1.21973e-02,2.18702e-05,5.20581e-04,5.20424e-04,7.83506e-03,3.83192e-02,1.79302e-03,7.83698e-03,7.82781e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.20424e-04,1.21966e-02,2.18562e-05,5.20550e-04,5.20073e-04,7.82781e-03,3.82813e-02,1.79192e-03,7.83506e-03,7.80967e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.20073e-04,1.21944e-02,2.18197e-05,5.20424e-04,5.19140e-04,7.80967e-03,3.81800e-02,1.78922e-03,7.82781e-03,7.76776e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.19140e-04,1.21882e-02,2.17304e-05,5.20073e-04,5.16707e-04,7.76776e-03,3.79262e-02,1.78298e-03,7.80967e-03,7.67520e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.16707e-04,1.21705e-02,2.15179e-05,5.19140e-04,5.10474e-04,7.67520e-03,3.73125e-02,1.76900e-03,7.76776e-03,7.48105e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.10474e-04,1.21200e-02,2.10280e-05,5.16707e-04,4.94853e-04,7.48105e-03,3.58916e-02,1.73827e-03,7.67520e-03,7.10110e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.94853e-04,1.19756e-02,1.99407e-05,5.10474e-04,4.56882e-04,7.10110e-03,3.28191e-02,1.67204e-03,7.48105e-03,6.42864e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.56882e-04,1.15629e-02,1.76515e-05,4.94853e-04,3.68685e-04,6.42864e-03,2.69619e-02,1.53194e-03,7.10110e-03,5.40466e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.68685e-04,1.03844e-02,1.31859e-05,4.56882e-04,1.78398e-04,5.40466e-03,1.88656e-02,1.24222e-03,6.42864e-03,5.30292e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.31859e-05,3.68685e-04,4.84379e-07,5.39171e-06,1.76515e-05,1.24222e-03,5.40466e-03,8.27055e-05,6.90316e-04,1.53194e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.76515e-05,4.56882e-04,6.85286e-07,1.31859e-05,1.99407e-05,1.53194e-03,6.42864e-03,1.10039e-04,1.24222e-03,1.67204e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.99407e-05,4.94853e-04,8.02621e-07,1.76515e-05,2.10280e-05,1.67204e-03,7.10110e-03,1.24680e-04,1.53194e-03,1.73827e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.10280e-05,5.10474e-04,8.65276e-07,1.99407e-05,2.15179e-05,1.73827e-03,7.48105e-03,1.32057e-04,1.67204e-03,1.76900e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.15179e-05,5.16707e-04,8.96631e-07,2.10280e-05,2.17304e-05,1.76900e-03,7.67520e-03,1.35624e-04,1.73827e-03,1.78298e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.17304e-05,5.19140e-04,9.11566e-07,2.15179e-05,2.18197e-05,1.78298e-03,7.76776e-03,1.37297e-04,1.76900e-03,1.78922e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18197e-05,5.20073e-04,9.18401e-07,2.17304e-05,2.18562e-05,1.78922e-03,7.80967e-03,1.38062e-04,1.78298e-03,1.79192e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18562e-05,5.20424e-04,9.21409e-07,2.18197e-05,2.18702e-05,1.79192e-03,7.82781e-03,1.38402e-04,1.78922e-03,1.79302e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18702e-05,5.20550e-04,9.22633e-07,2.18562e-05,2.18738e-05,1.79302e-03,7.83506e-03,1.38542e-04,1.79192e-03,1.79331e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18738e-05,5.20581e-04,9.22960e-07,2.18702e-05,2.18702e-05,1.79331e-03,7.83698e-03,1.38580e-04,1.79302e-03,1.79302e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18702e-05,5.20550e-04,9.22633e-07,2.18738e-05,2.18562e-05,1.79302e-03,7.83506e-03,1.38542e-04,1.79331e-03,1.79192e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18562e-05,5.20424e-04,9.21409e-07,2.18702e-05,2.18197e-05,1.79192e-03,7.82781e-03,1.38402e-04,1.79302e-03,1.78922e-03
